Dátum	Iskolai Tanulmányok	Munka	Munkaidő	Bevétel	Kiadás	Fejlesztő Ismeretek	Olvasás	Tiszta Étkezés	Edzés	Meditáció / NSDR	Mindset	Kielégülés	Dopamindús tartalom	Gaming	Kelés	Fekvés	Alvásidő	Pontszám	Jegyzet
2024.06.01.	0	300	300	0	0	17	0	0	1	0	0	0	0	0	6:10	22:10	8:00:00	56	Délre jöttek Imiék és velük is megünnepeltük a születésnapomat. Ebéd után felmentünk Imivel a szobámba és programozós játékkal kezdtünk el játszani, ahol különböző feladatokat kellett megoldani. Sajnos abszolút egészségtelenül étkeztem.	
2024.06.02.	0	396	396	0	0	70	67	1	1	1	1	1	0	0	6:23	22:10	8:13:00	82	Délelőtt eljött mama és a barátai mésziék. Kellett segíteni, így délelőtt nem sokat tudtam dolgozni. Délután a cél kitűzéssel foglalkoztam és a globális helyzetet próbáltam átlátni.	
2024.06.03.	335	117	452	0	0	80	50	0	1	0	1	0	0	0	5:45	21:47	7:58:00	71	Délután arra jutottam, hogy az AI-ban lenne adott esetben a legjobb elhelyezkedni.	
2024.06.04.	490	195	685	0	0	0	55	0	0	0	0	0	0	0	6:04	22:05	7:59:00	72	None	
2024.06.06.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.07.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.08.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.09.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.10.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.11.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.12.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.13.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.14.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.15.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.16.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.17.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.18.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.19.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.20.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.21.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.22.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.23.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.24.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.25.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.26.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.27.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.28.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.29.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
2024.06.30.	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
Összesen / Átlag	1125	1068	2193	0	0	167	222	1	4	1	2	1	0	0	6:5	22:3	8:2	70
